2025-08-10 11:12:48.872 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=41.65, 阈值=35.0, 级别=CRITICAL
2025-08-10 11:12:48.899 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical high temperature alert: 41.65°C
2025-08-10 11:12:48.948 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Temperature too high (41.65°C), started cooling
2025-08-10 11:12:48.981 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Humidity too low (37.27%), started humidifying
2025-08-10 11:12:49.066 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - CO2 level too low (300.0 ppm), reduced ventilation
2025-08-10 11:13:04.346 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=37.52, 阈值=35.0, 级别=HIGH
2025-08-10 11:13:04.374 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical high temperature alert: 37.52°C
2025-08-10 11:13:04.385 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=HUMIDITY, 参数值=20.77, 阈值=30.0, 级别=HIGH
2025-08-10 11:13:04.389 [scheduling-1] INFO  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Low humidity alert: 20.77%
2025-08-10 11:13:48.881 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=43.53, 阈值=35.0, 级别=CRITICAL
2025-08-10 11:13:48.894 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical high temperature alert: 43.53°C
2025-08-10 11:14:04.344 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=38.74, 阈值=35.0, 级别=HIGH
2025-08-10 11:14:04.350 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical high temperature alert: 38.74°C
2025-08-10 11:14:04.364 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=HUMIDITY, 参数值=25.58, 阈值=30.0, 级别=HIGH
2025-08-10 11:14:04.370 [scheduling-1] INFO  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Low humidity alert: 25.58%
2025-08-10 11:14:04.375 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发系统报警: 消息=CO2浓度过高警告：当前CO2浓度1724 ppm，高于推荐阈值1500 ppm
2025-08-10 11:14:04.381 [scheduling-1] INFO  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - High CO2 level alert: 1724.15 ppm
2025-08-10 11:14:04.445 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Temperature too high (38.74°C), started cooling
2025-08-10 11:14:04.482 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Humidity too low (25.58%), started humidifying
2025-08-10 11:14:04.578 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - CO2 level too high (1724.15 ppm), started ventilation
2025-08-10 11:14:48.868 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=42.74, 阈值=35.0, 级别=CRITICAL
2025-08-10 11:14:48.875 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical high temperature alert: 42.74°C
2025-08-10 11:14:48.920 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Temperature too high (42.74°C), started cooling
2025-08-10 11:14:48.949 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Humidity too low (45.49%), started humidifying
